"filename", "language", "Java", "Markdown", "Draw.io", "comment", "blank", "total"
"c:\Users\kkengo\Desktop\javalesson\bookmap\README.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\Main$1.class", "Java", 10, 0, 0, 0, 0, 10
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\Main.class", "Java", 16, 0, 0, 0, 0, 16
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\controller\PasswordEncoder.class", "Java", 57, 0, 0, 0, 0, 57
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\controller\ShowController.class", "Java", 75, 0, 0, 0, 1, 76
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dao\BookShelfDAO.class", "Java", 86, 0, 0, 0, 4, 90
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dao\BooksDAO.class", "Java", 126, 0, 0, 0, 8, 134
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dao\ProgressDAO.class", "Java", 76, 0, 0, 0, 6, 82
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dao\UsersDAO.class", "Java", 41, 0, 0, 0, 3, 44
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dto\AuthorsDTO.class", "Java", 18, 0, 0, 0, 0, 18
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dto\BooksDTO.class", "Java", 18, 0, 0, 0, 0, 18
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dto\GenresDTO.class", "Java", 18, 0, 0, 0, 0, 18
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dto\ProgressDTO.class", "Java", 17, 0, 0, 0, 0, 17
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\dto\UsersDTO.class", "Java", 18, 0, 0, 0, 0, 18
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\entity\AuthorsBean.class", "Java", 17, 0, 0, 0, 0, 17
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\entity\BooksBean.class", "Java", 20, 0, 0, 0, 0, 20
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\entity\GenresBean.class", "Java", 16, 0, 0, 0, 0, 16
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\entity\ProgressBean.class", "Java", 18, 0, 0, 0, 0, 18
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\entity\UsersBean.class", "Java", 27, 0, 0, 0, 0, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\image\Images.class", "Java", 18, 0, 0, 0, 0, 18
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\LoginForm$1.class", "Java", 15, 0, 0, 0, 0, 15
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\LoginForm$2.class", "Java", 27, 0, 0, 0, 0, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\LoginForm.class", "Java", 45, 0, 0, 0, 0, 45
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\ManageBooks$1.class", "Java", 31, 0, 0, 0, 0, 31
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\ManageBooks$2.class", "Java", 21, 0, 0, 0, 1, 22
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\ManageBooks$3.class", "Java", 26, 0, 0, 0, 1, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\ManageBooks$4.class", "Java", 15, 0, 0, 0, 0, 15
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\ManageBooks$LabelTimer.class", "Java", 13, 0, 0, 0, 0, 13
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\ManageBooks.class", "Java", 74, 0, 0, 0, 0, 74
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\Window$1.class", "Java", 13, 0, 0, 0, 1, 14
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\Window$2.class", "Java", 21, 0, 0, 0, 1, 22
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\Window$3.class", "Java", 15, 0, 0, 0, 1, 16
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\Window$4.class", "Java", 14, 0, 0, 0, 1, 15
"c:\Users\kkengo\Desktop\javalesson\bookmap\bin\window\Window.class", "Java", 105, 0, 0, 17, 3, 125
"c:\Users\kkengo\Desktop\javalesson\bookmap\bookmapER.dio", "Draw.io", 0, 0, 375, 0, 0, 375
"c:\Users\kkengo\Desktop\javalesson\bookmap\class.drawio", "Draw.io", 0, 0, 81, 0, 0, 81
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\Main.java", "Java", 16, 0, 0, 2, 3, 21
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\controller\PasswordEncoder.java", "Java", 91, 0, 0, 50, 18, 159
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\controller\ShowController.java", "Java", 157, 0, 0, 62, 19, 238
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dao\BookShelfDAO.java", "Java", 153, 0, 0, 6, 14, 173
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dao\BooksDAO.java", "Java", 176, 0, 0, 23, 19, 218
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dao\ProgressDAO.java", "Java", 148, 0, 0, 17, 11, 176
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dao\UsersDAO.java", "Java", 85, 0, 0, 9, 9, 103
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dto\AuthorsDTO.java", "Java", 19, 0, 0, 0, 8, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dto\BooksDTO.java", "Java", 19, 0, 0, 0, 8, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dto\GenresDTO.java", "Java", 19, 0, 0, 0, 6, 25
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dto\ProgressDTO.java", "Java", 19, 0, 0, 0, 8, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\dto\UsersDTO.java", "Java", 19, 0, 0, 0, 8, 27
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\entity\AuthorsBean.java", "Java", 18, 0, 0, 0, 7, 25
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\entity\BooksBean.java", "Java", 39, 0, 0, 0, 14, 53
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\entity\GenresBean.java", "Java", 18, 0, 0, 0, 7, 25
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\entity\ProgressBean.java", "Java", 40, 0, 0, 0, 14, 54
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\entity\UsersBean.java", "Java", 54, 0, 0, 0, 18, 72
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\image\Images.java", "Java", 42, 0, 0, 0, 13, 55
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\window\LoginForm.java", "Java", 100, 0, 0, 21, 21, 142
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\window\ManageBooks.java", "Java", 245, 0, 0, 38, 36, 319
"c:\Users\kkengo\Desktop\javalesson\bookmap\src\window\Window.java", "Java", 294, 0, 0, 57, 42, 393
"Total", "-", 2898, 1, 456, 302, 334, 3991